ids,street,locale
060375413001_060375413003,West 134th Place,Compton
060375413001_060375413002,West Stockwell Street,Compton
060375413001_060375414001,East 130th Street,Compton
060375413001_060375414005,West Stockwell Street,Compton
060375413002_060375413003,North Kemp Avenue,Compton
060375413002_060375414005,West Peach Street,Compton
060376507011_060376507012,West Torrance Boulevard,Torrance
060376507012_060376511021,Hawthorne Boulevard,Torrance
060376507012_060376508002,Sepulveda Boulevard,Torrance
060376507012_060376512011,Sepulveda Boulevard,Torrance
060376507012_060376507022,Lenore Street,Torrance
060376507012_060376507023,West Carson Street,Torrance
060376507012_060376511022,Sepulveda Boulevard,Torrance
060376504012_060376507012,Madrona Avenue,Torrance
060376506021_060376507012,West Torrance Boulevard,Torrance
060376504013_060376507012,Madrona Avenue,Torrance
060376506042_060376507012,West Torrance Boulevard,Torrance
060376506041_060376507012,West Torrance Boulevard,Torrance
060376507012_060376512211,Sepulveda Boulevard,Torrance
060376507012_060376507021,Lenore Street,Torrance
060376507011_060376507022,Lenore Street,Torrance
060376506021_060376507011,West Torrance Boulevard,Torrance
060376506022_060376507011,Anza Avenue,Torrance
060376507011_060376507021,Anza Avenue,Torrance
060379203341_060379203344,Tournament Road,Santa Clarita
060379203343_060379203344,Singing Hills Drive,Santa Clarita
060379203342_060379203344,Tournament Road,Santa Clarita
060379203302_060379203344,Singing Hills Drive,Santa Clarita
060379203304_060379203344,Orchard Village Road,Santa Clarita
060379203312_060379203344,Orchard Village Road,Santa Clarita
060379203313_060379203344,Orchard Village Road,Santa Clarita
060379203341_060379203343,Tournament Road,Santa Clarita
060379203341_060379203342,Wiley Canyon Road,Santa Clarita
060379203131_060379203341,Lyons Avenue,Santa Clarita
060379203132_060379203341,Lyons Avenue,Santa Clarita
060379203262_060379203341,Lyons Avenue,Santa Clarita
060379203261_060379203341,Interstate 5,Stevenson Ranch
060374024041_060374035001,Mansion Lane,San Dimas
060374034051_060374035001,South Grand Avenue,Covina
060374013031_060374035001,Christopher Columbus Transcontinental Highway,San Dimas
060374035001_060374063002,South Grand Avenue,Covina
060374035001_060374063001,Christopher Columbus Transcontinental Highway,West Covina
060374034072_060374035001,South Grand Avenue,Covina
060379203302_060379203343,McBean Parkway,Covina
060379203304_060379203343,Singing Hills Drive,Santa Clarita
060379203343_060379203391,Interstate 5,Santa Clarita
060379203261_060379203343,Interstate 5,Santa Clarita
060379203313_060379203342,Wiley Canyon Road,Santa Clarita
061110074052_061110074053,Sunnycrest Drive,Oak Park
061110074051_061110074053,Hollytree Drive,Oak Park
061110074053_061110075061,Albertson Fire Road,Simi Valley
060378003272_061110074053,Cheseboro Canyon Road,Agoura Hills
060378003273_061110074053,Pinewood Avenue,Oak Park
060378002032_061110074053,Las Virgenes Road,Calabasas
060378002031_061110074053,Crummer Ranch Road,Calabasas
060371352036_061110074053,Moore Canyon Road,Calabasas
060371352034_061110074053,Moore Canyon Road,Calabasas
060371352035_061110074053,Paseo La Vista,Los Angeles
060371344241_061110074053,Bell Canyon Boulevard,Los Angeles
060371373022_061110074053,County Oak Road,Los Angeles
060378003282_061110074053,Unnamed Road,Calabasas
060378003281_061110074053,Cheseboro Canyon Road,Agoura Hills
061110074053_061110075111,Bell Canyon Boulevard,Agoura Hills
061110074051_061110074052,Sunnycrest Drive,Oak Park
060378003273_061110074052,Pinewood Avenue,Oak Park
060371923001_060371923003,Rosewood Avenue,Los Angeles
060371923002_060371923003,Wilcox Avenue,Los Angeles
060374308031_060374308032,East Lemon Avenue,Arcadia
060374308031_060374308034,South 6th Avenue,Arcadia
060374308031_060374308035,South 2nd Avenue,Arcadia
060374308031_060374317003,West Norman Avenue,Arcadia
060374308031_060374317002,East Camino Real Avenue,Arcadia
060374308023_060374308031,East Camino Real Avenue,Arcadia
060374308022_060374308031,East Camino Real Avenue,Arcadia
060374308024_060374308031,South 2nd Avenue,Arcadia
060374308032_060374308033,East Live Oak Avenue,Arcadia
060374308032_060374308035,South 2nd Avenue,Arcadia
060374308032_060374316001,East Longden Avenue,Arcadia
060374308032_060374317004,West Las Flores Avenue,Arcadia
060374308032_060374317003,East Lemon Avenue,Arcadia
060374308032_060374315021,East Live Oak Avenue,Arcadia
060374308032_060374315024,East Live Oak Avenue,Arcadia
060374308033_060374308034,East Longden Avenue,Arcadia
060374308033_060374308035,South 6th Avenue,Arcadia
060374308033_060374315021,East Live Oak Avenue,Arcadia
060374308033_060374315022,East Live Oak Avenue,Arcadia
060374308033_060374315024,East Live Oak Avenue,Arcadia
060374308033_060374314004,East Live Oak Avenue,Arcadia
060374308033_060374314003,East Live Oak Avenue,Arcadia
060374308034_060374308035,South 6th Avenue,Arcadia
060374308034_060374313001,Jeffries Avenue,Arcadia
060374308022_060374308034,South 10th Avenue,Arcadia
060374308021_060374308034,East Camino Real Avenue,Arcadia
060374308034_060374314004,East Longden Avenue,Arcadia
060374308034_060374314001,Boley Street,Arcadia
060376704161_060376704162,Vía Rivera,Rancho Palos Verdes
060376704161_060379903000,Vía Segovia,Palos Verdes Estates
060376704061_060376704161,Hawthorne Boulevard,Rolling Hills Estates
060376703282_060376704161,Palos Verdes Drive West,Rancho Palos Verdes
060376703283_060376704161,Lunada Canyon Trail,Palos Verdes Estates
060376704161_060379902000,Vía Segovia,Palos Verdes Estates
060376704132_060376704161,Hawthorne Boulevard,Rolling Hills Estates
060376704061_060376704162,Hawthorne Boulevard,Rolling Hills Estates
060371096013_060371192022,Daventry Street,Los Angeles
060371192022_060371192023,Filmore Street,Los Angeles
060371192022_060371192024,Filmore Street,Los Angeles
060375340021_060375340022,Foster Bridge Boulevard,Bell Gardens
060375340022_060375508006,Florence Avenue,Bell Gardens
060375340022_060375342032,Clara Street,Bell Gardens
060375340022_060375342031,Clara Street,Bell Gardens
060375340013_060375340022,Emil Avenue,Bell Gardens
060375340012_060375340022,Suva Street,Bell Gardens
060375340011_060375340022,Emil Avenue,Bell Gardens
060375340022_060375507001,Suva Street,Bell Gardens
060375340022_060375507005,Florence Avenue,Bell Gardens
060375340011_060375340021,Emil Avenue,Bell Gardens
060375340021_060375507001,Foster Bridge Boulevard,Bell Gardens
060375323041_060375340021,Rio Hondo Bike Path,Commerce
060373013001_060373013002,Cumberland Road,Glendale
060373007022_060373013001,West Kenneth Road,Glendale
060373012053_060373013001,West Kenneth Road,Glendale
060373012051_060373013001,Ard Eevin Avenue,Glendale
060373005011_060374606001,Foothill Boulevard,La Cañada Flintridge
060373005011_060373005012,La Crescenta Avenue,La Crescenta-Montrose
060373005011_060373005023,Rosemont Avenue,Glendale
060373002001_060373005011,Foothill Boulevard,Glendale
060373002003_060373005011,Foothill Boulevard,La Crescenta-Montrose
060373002002_060373005011,Foothill Boulevard,La Crescenta-Montrose
060373005011_060373005022,Foothill Freeway,La Crescenta-Montrose
060373005011_060373005021,Rosemont Avenue,Glendale
060379302001_060379302002,Boy Scout Lower Motorway,Glendale
060371060101_060379302002,Wilson Canyon Tktr,Glendale
060379203321_060379302002,Placerita Canyon Road,Santa Clarita
060371064061_060379302002,Sombrero,Los Angeles
060371065103_060379302002,Sierra Highway,Los Angeles
060379200421_060379302002,Antelope Valley Freeway,Santa Clarita
060379108111_060379302002,Angeles Forest Highway,Palmdale
060371061122_060379302002,Lime Kiln Canyon Tr,Palmdale
060379203371_060379302002,Sierra Highway,Santa Clarita
060379203123_060379302002,Sierra Highway,Santa Clarita
060379302002_060379303011,Big Tujunga Canyon Road,Palmdale
060379200314_060379302002,Placerita Canyon Road,Santa Clarita
060379302002_060379800261,BP and L Road,Santa Clarita
060379200431_060379302002,Sand Canyon Road,Santa Clarita
060371060202_060379302002,Polk Street,Los Angeles
060371041243_060379302002,Little Tujunga Canyon Road,Los Angeles
060371042042_060379302001,Paxton Street,Los Angeles
060371061122_060379302001,Foothill Freeway,Los Angeles
060371041243_060379302001,Veranda Drive,Los Angeles
060371247002_060371247003,Addison Street,Los Angeles
060371247001_060371247002,Magnolia Boulevard,Los Angeles
060371247002_060371247004,Fulton Avenue,Los Angeles
060371246003_060371247002,Fulton Avenue,Los Angeles
060371246001_060371247002,Magnolia Boulevard,Los Angeles
060371246002_060371247002,Magnolia Boulevard,Los Angeles
060371247001_060371247003,Magnolia Boulevard,Los Angeles
060371247003_060371247004,Addison Street,Los Angeles
060371247003_060371434004,Fulton Avenue,Los Angeles
060371247003_060371434002,Coldwater Canyon Avenue,Los Angeles
060371247003_060371434001,Whitsett Avenue,Los Angeles
060371246003_060371247003,Fulton Avenue,Los Angeles
060371247003_060371411011,Fulton Avenue,Los Angeles
060371244003_060371247001,Chandler Boulevard,Los Angeles
060371245001_060371247001,Chandler Boulevard,Los Angeles
060371246001_060371247001,Fulton Avenue,Los Angeles
060371246002_060371247001,Magnolia Boulevard,Los Angeles
060371236013_060371247001,Chandler Boulevard,Los Angeles
060371246003_060371247004,Fulton Avenue,Los Angeles
060371246002_060371247004,Fulton Avenue,Los Angeles
060377015022_060377015023,Historic Route 66,Santa Monica
060377015023_060377019021,Wilshire Boulevard,Santa Monica
060377015012_060377015023,12th Street,Santa Monica
060377015013_060377015023,Wilshire Boulevard,Santa Monica
060377015023_060377017023,Lincoln Boulevard,Santa Monica
060377015023_060377017022,Historic Route 66,Santa Monica
060377015021_060377015022,Historic Route 66,Santa Monica
060377015012_060377015022,16th Street,Santa Monica
060377015013_060377015022,12th Street,Santa Monica
060377015011_060377015022,16th Street,Santa Monica
060377015022_060377017021,Historic Route 66,Santa Monica
060377015022_060377017023,Historic Route 66,Santa Monica
060377015022_060377017022,Historic Route 66,Santa Monica
060377015021_060377016014,Wilshire Boulevard,Santa Monica
060377015021_060377017013,Historic Route 66,Santa Monica
060377015012_060377015021,16th Street,Santa Monica
060377015011_060377015021,Wilshire Boulevard,Santa Monica
060377015021_060377016023,Historic Route 66,Santa Monica
060377015021_060377017021,Historic Route 66,Santa Monica
060377015021_060377017022,Historic Route 66,Santa Monica
060375426022_060375426023,West Compton Boulevard,Compton
060375425024_060375426023,West Compton Boulevard,Compton
060375425022_060375426023,West Compton Boulevard,Compton
060375426012_060375426023,North Oleander Avenue,Compton
060375426013_060375426023,North Oleander Avenue,Compton
060375426021_060375426022,West Compton Boulevard,Compton
060375425024_060375426022,West Compton Boulevard,Compton
060375425022_060375426022,West Compton Boulevard,Compton
060375426012_060375426022,North Culver Avenue,Compton
060375426013_060375426022,North Oleander Avenue,Compton
060375425022_060375426021,West Compton Boulevard,Compton
060375425021_060375426021,West Compton Boulevard,Compton
060375416032_060375426021,East Rosecrans Avenue,Compton
060375426012_060375426021,North Willowbrook Avenue,Compton
060375426011_060375426021,East Rosecrans Avenue,Compton
060375424014_060375426021,East Compton Boulevard,Compton
060375416062_060375426021,East Compton Boulevard,Compton
060372651002_060377007002,Walden Drive,Beverly Hills
060372651002_060377007003,Wilshire Boulevard,Los Angeles
060372621001_060372651002,Sunset Boulevard,Los Angeles
060372621002_060372651002,Sunset Boulevard,Los Angeles
060372651002_060372653011,Sunset Boulevard,Los Angeles
060372651001_060372651002,Hilgard Avenue,Los Angeles
060372651002_060372657001,Wilshire Boulevard,Los Angeles
060372651002_060372657002,Comstock Avenue,Los Angeles
060371066461_060371066462,Rinaldi Street,Los Angeles
060371066451_060371066462,Simonds Street,Los Angeles
060371066462_060371097002,Ronald Reagan Freeway,Los Angeles
060371066462_060371112012,Balboa Boulevard,Los Angeles
060371066462_060371112011,Balboa Boulevard,Los Angeles
060371066462_060371111002,San Fernando Mission Boulevard,Los Angeles
060371066452_060371066461,Shamhart Drive,Los Angeles
060371066451_060371066461,Rinaldi Street,Los Angeles
060372697001_060372697002,Cattaraugus Avenue,Los Angeles
060372697001_060372697003,Cadillac Avenue,Los Angeles
060372697001_060372697004,Reynier Avenue,Los Angeles
060372696021_060372697001,Cadillac Avenue,Los Angeles
060372696022_060372697001,Cadillac Avenue,Los Angeles
060372697001_060372703001,South La Cienega Boulevard,Los Angeles
060372697001_060372702001,South La Cienega Boulevard,Los Angeles
060372697001_060372702003,Cattaraugus Avenue,Los Angeles
060372697001_060372702002,Cattaraugus Avenue,Los Angeles
060372696011_060372697001,Cadillac Avenue,Los Angeles
060372696012_060372697001,South La Cienega Boulevard,Los Angeles
060372697002_060372697004,Cattaraugus Avenue,Los Angeles
060372695002_060372697002,Cattaraugus Avenue,Los Angeles
060372697002_060372702003,Cattaraugus Avenue,Los Angeles
060372697002_060372702002,National Boulevard,Los Angeles
060372697002_060372701002,National Boulevard,Los Angeles
060372697003_060372697004,South Canfield Avenue,Los Angeles
060372695002_060372697003,South Canfield Avenue,Los Angeles
060372695001_060372697003,South Robertson Boulevard,Los Angeles
060372696021_060372697003,Cadillac Avenue,Los Angeles
060372695002_060372697004,South Canfield Avenue,Los Angeles
060375316021_060375316023,South Ferris Avenue,East Los Angeles
060375316021_060375316042,Whittier Boulevard,East Los Angeles
060375316022_060375316023,South Arizona Avenue,East Los Angeles
060375316023_060375316042,Fraser Avenue,East Los Angeles
060375315024_060375316023,South Arizona Avenue,East Los Angeles
060375315021_060375316023,South Arizona Avenue,East Los Angeles
060375315023_060375316023,South Arizona Avenue,East Los Angeles
060375315042_060375316023,South Arizona Avenue,East Los Angeles
060375315024_060375316022,South Arizona Avenue,East Los Angeles
060375315021_060375316022,Union Pacific Avenue,East Los Angeles
060375316022_060375323021,Telegraph Road,East Los Angeles
060374606001_060374606002,Jessen Drive,La Cañada Flintridge
060374606001_060374606003,Castle Road,La Cañada Flintridge
060374606001_060374606004,Ocean View Boulevard,La Crescenta-Montrose
060373002001_060374606001,Ocean View Boulevard,La Cañada Flintridge
060373001001_060374606001,Highrim Road,La Cañada Flintridge
060373001002_060374606001,Teasley Street,La Cañada Flintridge
060373005022_060374606001,Foothill Boulevard,La Cañada Flintridge
060374606002_060374606003,Jessen Drive,La Cañada Flintridge
060374606002_060374607005,Foothill Boulevard,La Cañada Flintridge
060374605024_060374606002,Foothill Boulevard,La Cañada Flintridge
060373005022_060374606002,Foothill Boulevard,La Cañada Flintridge
060374606003_060374606004,Foothill Boulevard,La Cañada Flintridge
060373005022_060374606003,Foothill Boulevard,La Cañada Flintridge
060373005022_060374606004,Ocean View Boulevard,La Crescenta-Montrose
060372765001_060372780012,West Manchester Avenue,Los Angeles
060372765001_060372765002,Cabora Drive,Los Angeles
060372765001_060372766041,West Manchester Avenue,Los Angeles
060372756021_060372765001,Cabora Drive,Los Angeles
060372765001_060372766012,West 85th Street,Los Angeles
060372321201_060372321202,South Figueroa Street,Los Angeles
060372321201_060372321203,West Vernon Avenue,Los Angeles
060372318003_060372321201,West Vernon Avenue,Los Angeles
060372321201_060372327001,South Figueroa Street,Los Angeles
060372321201_060372327003,South Figueroa Street,Los Angeles
060372319002_060372321201,Harbor Frwy and Transit Way,Los Angeles
060372317203_060372321201,West Vernon Avenue,Los Angeles
060372317202_060372321201,West Vernon Avenue,Los Angeles
060372321201_060372328001,Harbor Frwy and Transit Way,Los Angeles
060372321202_060372321203,South Figueroa Street,Los Angeles
060372321102_060372321202,West 51st Street,Los Angeles
060372321202_060372327001,West 52nd Street,Los Angeles
060372321202_060372327003,South Figueroa Street,Los Angeles
060372321102_060372321203,South Hoover Street,Los Angeles
060372321101_060372321203,West Vernon Avenue,Los Angeles
060372317203_060372321203,West Vernon Avenue,Los Angeles
060372317202_060372321203,West Vernon Avenue,Los Angeles
060372933022_060376700011,West 247th Street,Lomita
060372933021_060372933022,West Lomita Boulevard,Los Angeles
060372933022_060372933041,252nd Street,Lomita
060372933022_060372944213,Frampton Avenue,Los Angeles
060372933022_060376700021,Lomita Boulevard,Lomita
060371908011_060371908012,North Gower Street,Los Angeles
060371908011_060371908022,Fountain Avenue,Los Angeles
060371908011_060371908023,Fountain Avenue,Los Angeles
060371908011_060371917101,North Gower Street,Los Angeles
060371908011_060371918102,Vine Street,Los Angeles
060371908011_060371918101,Santa Monica Boulevard,Los Angeles
060371908011_060371909022,North Gower Street,Los Angeles
060371908011_060371909021,Lexington Avenue,Los Angeles
060371908012_060371910003,North Gower Street,Los Angeles
060371908012_060371908022,Vine Street,Los Angeles
060371908012_060371908023,Fountain Avenue,Los Angeles
060371908012_060371909021,North Gower Street,Los Angeles
060374056002_060374056003,North Homerest Avenue,West Covina
060374056003_060374056004,North Lark Ellen Avenue,West Covina
060374055002_060374056003,Christopher Columbus Transcontinental Highway,West Covina
060374056003_060374065005,Christopher Columbus Transcontinental Highway,West Covina
060374056003_060374065001,North Lark Ellen Avenue,West Covina
060374056003_060374067024,Christopher Columbus Transcontinental Highway,West Covina
060374056001_060374056002,North Lark Ellen Avenue,West Covina
060374056002_060374056005,North Homerest Avenue,West Covina
060374056002_060374056004,North Homerest Avenue,West Covina
060374055002_060374056002,North Toland Avenue,West Covina
060374056001_060374056005,North Lark Ellen Avenue,West Covina
060374055004_060374056001,North Vincent Avenue,West Covina
060374055002_060374056001,North Lyall Avenue,West Covina
060374055001_060374056001,North Vincent Avenue,West Covina
060374054002_060374056001,North Vincent Avenue,Covina
060374056001_060374057012,North Lark Ellen Avenue,Covina
060374056004_060374056005,North Homerest Avenue,West Covina
060374056005_060374062002,East Rowland Avenue,West Covina
060374056005_060374062003,East Rowland Avenue,West Covina
060374056004_060374064112,North Azusa Avenue,West Covina
060374056004_060374065005,North Lark Ellen Avenue,West Covina
060374056004_060374065001,North Lark Ellen Avenue,West Covina
060374056004_060374062003,North Azusa Avenue,West Covina
060375004041_060375004042,Beverly Boulevard,Pico Rivera
060375004031_060375004041,Beverly Boulevard,Pico Rivera
060375004032_060375004041,San Gabriel River Parkway,Pico Rivera
060375004042_060375004043,Beverly Boulevard,Pico Rivera
060375004043_060375004044,Gallatin Road,Pico Rivera
060375004043_060375006003,Rosemead Boulevard,Pico Rivera
060375004043_060375005001,Rosemead Boulevard,Pico Rivera
060375004042_060375004044,Durfee Avenue,Pico Rivera
060375004032_060375004042,Woodford Street,Pico Rivera
060374338021_060375004044,Kruse Road,Pico Rivera
060375004044_060375005001,Rosemead Boulevard,Pico Rivera
060375004032_060375004044,Durfee Avenue,Pico Rivera
060372404011_060372404013,South Figueroa Street,Los Angeles
060372404011_060372404012,South Figueroa Street,Los Angeles
060372404011_060376002012,West 98th Street,Los Angeles
060372404011_060376002011,Vermont Avenue,Los Angeles
060372404011_060372404021,West 98th Street,Los Angeles
060372404012_060372404013,South Figueroa Street,Los Angeles
060372404013_060376002011,Vermont Avenue,Los Angeles
060372404013_060376001003,West 94th Street,Los Angeles
060372404012_060372405004,Harbor Frwy and Transit Way,Los Angeles
060372403004_060372404012,South Hoover Street,Los Angeles
060372403003_060372404012,West 92nd Street,Los Angeles
060372404012_060372404021,South Figueroa Street,Los Angeles
060372404012_060376001003,South Vermont Avenue,Los Angeles
060372402001_060372404012,Harbor Frwy and Transit Way,Los Angeles
060371838101_060371838102,North Avenue 53,Los Angeles
060371835201_060371838102,North Avenue 56,Los Angeles
060371838102_060371838202,Longfellow Street,Los Angeles
060371837013_060371838102,Media Drive,Los Angeles
060371835202_060371838101,Monte Vista Street,Los Angeles
060371835201_060371838101,North Avenue 53,Los Angeles
060371838101_060371838201,North Figueroa Street,Los Angeles
060371838101_060371838202,South Avenue 52,Los Angeles
060372675022_060377017011,Centinela Avenue,Santa Monica
060372675022_060372676003,Nebraska Avenue,Los Angeles
060372675021_060372675022,Idaho Avenue,Los Angeles
060374316001_060374317004,East Longden Avenue,Arcadia
060374315021_060374316001,Santa Anita Avenue,Arcadia
060374316001_060374316003,El Monte Avenue,Arcadia
060374315013_060374316001,El Monte Avenue,Temple City
061110079031_061110085001,Ronald Reagan Freeway,Simi Valley
061110079031_061110085002,Alamo Street,Simi Valley
061110079031_061110085003,Legacy Drive,Simi Valley
061110079031_061110079041,Erringer Road,Simi Valley
061110079031_061110081011,Ronald Reagan Freeway,Simi Valley
060373025061_060373025062,East Cypress Street,Glendale
060373025061_060373025063,Vista Court,Glendale
060373025051_060373025061,Boynton Street,Glendale
060373025062_060373025063,South Adams Street,Glendale
060373021024_060373025062,Green Street,Glendale
060373021025_060373025062,York Boulevard,Los Angeles
060371861004_060373025062,York Boulevard,Los Angeles
060373025051_060373025062,South Glendale Avenue,Glendale
060373025053_060373025062,South Glendale Avenue,Glendale
060371863011_060373025062,South Glendale Avenue,Glendale
060373025041_060373025063,East Chevy Chase Drive,Glendale
060373025043_060373025063,East Chevy Chase Drive,Glendale
060373021024_060373025063,South Adams Street,Glendale
060373025051_060373025063,East Palmer Avenue,Glendale
060373025052_060373025063,East Chevy Chase Drive,Glendale
060372380002_060372380003,Denker Avenue,Los Angeles
060372380001_060372380003,Western Avenue,Los Angeles
060372380003_060372380005,Western Avenue,Los Angeles
060372380003_060372380004,Western Avenue,Los Angeles
060372380001_060372380002,Denker Avenue,Los Angeles
060372380002_060376002013,West Century Boulevard,Los Angeles
060372380002_060376002012,West 98th Street,Los Angeles
060372380002_060376002011,West 96th Street,Los Angeles
060372380002_060376002023,Denker Avenue,Los Angeles
060372380002_060376001002,South Normandie Avenue,Los Angeles
060372380001_060372380006,Western Avenue,Los Angeles
060372380001_060372380005,Western Avenue,Los Angeles
060372380001_060376002023,West 103rd Street,Los Angeles
060372380001_060376002022,Western Avenue,Los Angeles
060372380005_060372380006,West Century Boulevard,Los Angeles
060372380006_060376003023,Western Avenue,Los Angeles
060372380006_060376004004,South Gramercy Place,Los Angeles
060372380006_060376004002,South Gramercy Place,Los Angeles
060372380006_060376004001,South Gramercy Place,Los Angeles
060372380006_060376002022,Western Avenue,Los Angeles
060372380004_060372380005,Western Avenue,Los Angeles
060372380005_060376006011,West Century Boulevard,Los Angeles
060372380005_060376007042,West Arbor Vitae Street,Inglewood
060372380005_060376007021,West Arbor Vitae Street,Inglewood
060372380005_060376004001,West Century Boulevard,Los Angeles
060372400201_060372400202,Avalon Boulevard,Los Angeles
060372400201_060372405001,East 93rd Street,Los Angeles
060372400201_060372407004,Avalon Boulevard,Los Angeles
060372400102_060372400201,Avalon Boulevard,Los Angeles
060372400101_060372400201,Avalon Boulevard,Los Angeles
060372400201_060372402002,Wall Street,Los Angeles
060372400201_060372402003,East 88th Place,Los Angeles
060372400202_060372400203,East 93rd Street,Los Angeles
060372400202_060372407003,East 93rd Street,Los Angeles
060372400202_060372407004,Avalon Boulevard,Los Angeles
060372400103_060372400202,McKinley Avenue,Los Angeles
060372400102_060372400202,McKinley Avenue,Los Angeles
060372400101_060372400202,Avalon Boulevard,Los Angeles
060372400203_060372407003,East 93rd Street,Los Angeles
060372400203_060372407001,Clovis Avenue,Los Angeles
060372400203_060372407004,East 93rd Street,Los Angeles
060372400103_060372400203,East 88th Place,Los Angeles
060372400102_060372400203,McKinley Avenue,Los Angeles
060372167002_060372167003,Pickford Street,Los Angeles
060372167001_060372167002,Stearns Drive,Los Angeles
060372164011_060372167002,South La Cienega Boulevard,Los Angeles
060372167002_060372168004,Pico Boulevard,Los Angeles
060372167002_060372168003,Pico Boulevard,Los Angeles
060372167002_060372170022,South La Cienega Boulevard,Los Angeles
060372167002_060372170023,Pickford Street,Los Angeles
060372167001_060372167003,Pickford Street,Los Angeles
060372167003_060372703001,West 18th Street,Los Angeles
060372167003_060372170022,Pickford Street,Los Angeles
060372167003_060372170023,South La Cienega Boulevard,Los Angeles
060372167003_060372696013,West 18th Street,Los Angeles
060372167003_060372169004,West 18th Street,Los Angeles
060372167003_060372169005,Airdrome Street,Los Angeles
060372167003_060372703002,West 18th Street,Los Angeles
060372167001_060372168003,Pico Boulevard,Los Angeles
060372167001_060372169005,Pickford Street,Los Angeles
060372167001_060372169003,Pico Boulevard,Los Angeles
060371200101_060371200102,Saloma Avenue,Los Angeles
060371200102_060371275201,Sepulveda Boulevard,Los Angeles
060371200102_060371275202,Sepulveda Boulevard,Los Angeles
060371200102_060371200201,Raymer Street,Los Angeles
060371200102_060371273001,Sepulveda Boulevard,Los Angeles
060371200101_060371275201,Sepulveda Boulevard,Los Angeles
060371200101_060371275202,Sepulveda Boulevard,Los Angeles
060371200101_060371201061,Roscoe Boulevard,Los Angeles
060371174081_060371200101,Sepulveda Boulevard,Los Angeles
060371175302_060371200101,Roscoe Boulevard,Los Angeles
060371200101_060371200201,Saloma Avenue,Los Angeles
060374078021_060374081381,Gemini Street,La Puente
060374081381_060374081382,North Sandalwood Avenue,La Puente
060374077011_060374081381,South Azusa Avenue,La Puente
060374081381_060374082111,Main Street,La Puente
060374081381_060374081391,Salais Street,La Puente
060376503002_060376503003,West 178th Street,Torrance
060376502003_060376503002,Prairie Avenue,Torrance
060376503001_060376503002,Prairie Avenue,Torrance
060376206011_060376503002,Hawthorne Boulevard,Torrance
060376503003_060376503004,Hawthorne Boulevard,Torrance
060376503003_060376503005,Hawthorne Boulevard,Torrance
060376502003_060376503003,West 182nd Street,Torrance
060376502002_060376503003,West 182nd Street,Torrance
060376206011_060376503003,Hawthorne Boulevard,Redondo Beach
060376503004_060376503005,Hawthorne Boulevard,Torrance
060376502003_060376503004,West 182nd Street,Torrance
060376502002_060376503004,Prairie Avenue,Torrance
060376206011_060376503004,Hawthorne Boulevard,Torrance
060376502002_060376503005,Prairie Avenue,Torrance
060376502001_060376503005,Prairie Avenue,Torrance
060376206011_060376503005,Hawthorne Boulevard,Torrance
060376503005_060376505013,190th Street,Redondo Beach
060372312102_060372316001,Budlong Avenue,Los Angeles
060372312102_060372316004,South Normandie Avenue,Los Angeles
060372312102_060372316005,South Normandie Avenue,Los Angeles
060372312102_060372312202,Budlong Avenue,Los Angeles
060372312102_060372312201,Budlong Avenue,Los Angeles
060372312101_060372312102,West 39th Street,Los Angeles
060371375041_060378001022,Santa Maria Road,Topanga
060371375012_060371375041,Oakdale Avenue,Los Angeles
060371375011_060371375041,Winnetka Avenue,Los Angeles
060371375041_060379800191,LADWP Service Road,Los Angeles
060371375041_060371380001,Mulholland Drive,Los Angeles
060371375041_060371394021,Corbin Avenue,Los Angeles
060371375041_060371398021,Mulholland Drive,Los Angeles
060372653041_060372653042,Ophir Drive,Los Angeles
060372653011_060372653041,Gayley Avenue,Los Angeles
060372653032_060372653041,Ophir Drive,Los Angeles
060372653031_060372653041,Gayley Avenue,Los Angeles
060372653032_060372653042,Ophir Drive,Los Angeles
060372653031_060372653042,Ophir Drive,Los Angeles
060375030003_060375041021,Shoemaker Avenue,Santa Fe Springs
060375030003_060375031041,Sunshine Avenue,Whittier
060375030002_060375030003,Sunshine Avenue,Whittier
060375028022_060375030003,Beaty Street,Whittier
060375030003_060375031042,Carmenita Road,Santa Fe Springs
060371997001_060372060201,East Leroy Street,Los Angeles
060372060201_060372071021,North Alameda Street,Los Angeles
060372060201_060372060323,Santa Ana Freeway,Los Angeles
060372060201_060372060311,North Alameda Street,Los Angeles
060372035002_060372060201,Santa Ana Freeway,Los Angeles
060372060201_060372071032,North Main Street,Los Angeles
060372060102_060372060201,East Leroy Street,Los Angeles
060379200132_060379200133,Santa Clara River Trail,Santa Clarita
060379200131_060379200133,Bouquet Canyon Road,Santa Clarita
060379200133_060379201152,Bouquet Canyon Road,Santa Clarita
060379200131_060379200132,Santa Clara River Trail,Santa Clarita
060379200132_060379200281,Golden Valley Road,Santa Clarita
060379200132_060379200291,Golden Valley Road,Santa Clarita
060379200131_060379200302,Soledad Canyon Road,Santa Clarita
060379200131_060379200281,Golden Valley Road,Santa Clarita
060379200131_060379201152,Bouquet Canyon Road,Santa Clarita
060379200131_060379203142,Soledad Canyon Road,Santa Clarita
060379200131_060379200291,Golden Valley Road,Santa Clarita
060379200131_060379200231,Soledad Canyon Road,Santa Clarita
060371224202_060371232031,Lankershim Boulevard,Los Angeles
060371224202_060371230101,Tujunga Avenue,Los Angeles
060371224202_060371230102,Sherman Way,Los Angeles
060371224202_060371232061,Tujunga Avenue,Los Angeles
